v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
Antalya MH,"26,00%","30,93%",10.834,12.884,41.662,83.592,,Antalya MH,"23,65%","30,93%",9.852,12.884,35.266,83.592,,Antalya MH,"0,00%","0,00%","62,47%","0,00%","59,69%","2,38%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","12,01%","0,00%","8,40%","46,80%","46,05%","0,00%",,Antalya MH,0,0,5.989,0,12.282,21.711,43.610,0,,Antalya MH,,67.111,,,0,0,0,,Cuma,"30,55%","41,68%",18.341,25.024,60.039,101.396
Denizli MH,"94,81%","0,00%",3.308,0,3.489,3.598,,Denizli MH,"29,18%","0,00%",1.018,0,1.019,3.598,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","94,81%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,0,3.598,,Denizli MH,,0,,,0,0,0,,Cumartesi,"55,75%","22,67%",24.760,10.071,44.416,82.879
İkitelli-Defne Transfer Merkezi,"99,96%","0,00%",11.017,0,11.021,18.080,,İkitelli-Defne Transfer Merkezi,"99,96%","0,00%",11.017,0,11.021,18.080,,İkitelli-Defne Transfer Merkezi,"0,00%","99,98%","0,00%","0,00%","0,00%","99,95%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,8.273,0,0,0,9.807,0,0,,İkitelli-Defne Transfer Merkezi,,14.724,,,0,0,0,,,,,,,,
8 Haziran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
24,"38,29%","33,52%",135.803,118.884,354.631,610.853,,24,"30,64%","29,15%",108.665,103.368,248.485,620.114,,24,"0,00%","54,28%","76,70%","8,49%","32,72%","42,58%","11,88%","2,39%",,24,"0,00%","18,62%","13,29%","43,12%","37,53%","29,61%","50,17%","58,01%",,24,"0,00%","5,95%","18,09%","6,76%","9,68%","29,21%","27,24%","3,07%",,24,"10,96%",601.996,777.466,19.990,85.959,"7,2%","1,5%",,24,"38,29%","33,52%",135.803,118.884,354.631,610.853
Ankara Kazan SC,"10,61%","41,35%",8.127,31.690,76.632,223.740,,Ankara Kazan SC,"9,97%","40,16%",7.640,30.772,49.157,223.740,,Ankara Kazan SC,"0,00%","54,28%","38,32%","3,83%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","18,62%","5,19%","45,79%","52,73%","46,67%","46,21%","41,69%",,Ankara Kazan SC,0,36.321,7.210,37.485,24.578,50.005,58.761,9.380,,Ankara Kazan SC,,227.642,,,34.529,0,4.986,,Pazartesi,"26,40%","44,12%",20.024,33.464,75.850,124.464
Esenyurt SC ,"39,66%","36,00%",36.875,33.472,92.983,117.035,,Esenyurt SC ,"35,35%","36,00%",32.866,33.472,77.487,117.035,,Esenyurt SC ,"0,00%","0,00%","90,44%","0,00%","38,42%","16,49%","7,50%","0,00%",,Esenyurt SC ,"0,00%","0,00%","3,50%","0,00%","37,26%","51,38%","56,72%","56,23%",,Esenyurt SC ,0,0,42.861,0,9.132,27.471,33.176,4.395,,Esenyurt SC ,,114.284,,,20.307,11.313,248,,Salı,"34,28%","36,99%",20.744,22.383,60.516,108.798
Gebze SC,"39,50%","45,17%",36.932,42.228,93.496,127.939,,Gebze SC,"29,64%","30,57%",27.716,28.583,59.387,137.200,,Gebze SC,"0,00%","0,00%","61,84%","0,00%","19,12%","24,63%","34,96%","0,00%",,Gebze SC,"0,00%","0,00%","24,75%","0,00%","57,46%","61,20%","49,82%","84,01%",,Gebze SC,0,0,50.402,0,14.110,26.771,32.416,4.240,,Gebze SC,,129.411,,,20.724,11.083,0,,Çarşamba,"29,03%","40,89%",18.090,25.485,62.323,101.100
Bursa MH,"75,05%","2,98%",34.367,1.364,45.795,51.268,,Bursa MH,"47,51%","0,90%",21.755,411,22.206,51.268,,Bursa MH,"0,00%","0,00%","0,00%","82,38%","0,00%","75,59%","0,00%","34,95%",,Bursa MH,"0,00%","0,00%","0,00%","0,76%","0,00%","2,70%","0,00%","21,73%",,Bursa MH,0,0,0,3.817,0,46.690,0,761,,Bursa MH,,48.824,,,10.399,3.261,0,,Perşembe,"45,29%","27,07%",25.830,15.435,57.029,98.413
Antalya MH,"27,40%","28,07%",9.891,10.130,36.092,74.095,,Antalya MH,"25,15%","28,07%",9.077,10.130,30.615,74.095,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","68,22%","40,98%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","5,67%","11,79%","45,82%","0,00%",,Antalya MH,0,0,0,0,11.318,20.745,42.032,0,,Antalya MH,,67.111,,,0,0,0,,Cuma,"38,81%","31,42%",22.463,18.184,57.880,100.812
Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%",0,0,0,0,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,,0,,,0,0,0,,Cumartesi,"69,83%","9,58%",28.652,3.933,41.033,77.266
İkitelli-Defne Transfer Merkezi,"99,77%","0,00%",9.611,0,9.633,16.776,,İkitelli-Defne Transfer Merkezi,"99,77%","0,00%",9.611,0,9.633,16.776,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,84%","0,00%","0,00%","99,68%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,10.009,0,0,6.767,0,0,,İkitelli-Defne Transfer Merkezi,,14.724,,,0,0,0,,,,,,,,
15 Haziran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
25,"36,65%","30,07%",133.300,109.367,363.663,622.373,,25,"29,78%","27,05%",108.310,98.379,250.875,622.373,,25,"67,44%","53,61%","76,05%","58,63%","32,90%","36,84%","10,63%","0,00%",,25,"11,75%","16,56%","10,81%","17,62%","35,30%","23,51%","46,82%","60,50%",,25,"1,14%","5,36%","14,44%","11,39%","12,17%","26,19%","28,20%","1,12%",,25,"2,90%",601.996,725.946,22.348,39.791,"2,5%","0,8%",,25,"36,65%","30,07%",133.300,109.367,363.663,622.373
Ankara Kazan SC,"10,96%","35,77%",8.595,28.038,78.394,232.338,,Ankara Kazan SC,"10,38%","34,52%",8.138,27.064,50.453,232.338,,Ankara Kazan SC,"67,44%","53,61%","0,00%","5,20%","0,81%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"11,75%","16,56%","47,09%","42,75%","47,48%","46,09%","28,06%","5,01%",,Ankara Kazan SC,7.107,33.336,8.128,41.946,43.180,43.366,53.361,1.914,,Ankara Kazan SC,,227.642,,,14.553,6.485,1.365,,Pazartesi,"36,79%","34,88%",31.910,30.255,86.729,133.528
Esenyurt SC ,"29,91%","42,34%",29.883,42.300,99.901,122.231,,Esenyurt SC ,"27,19%","42,34%",27.162,42.300,83.359,122.231,,Esenyurt SC ,"0,00%","0,00%","81,08%","0,00%","31,58%","0,00%","0,78%","0,00%",,Esenyurt SC ,"0,00%","0,00%","7,61%","0,00%","39,15%","0,00%","62,11%","69,02%",,Esenyurt SC ,0,0,42.683,0,16.663,0,57.845,5.040,,Esenyurt SC ,,114.284,,,7.582,0,0,,Salı,"28,72%","35,23%",18.862,23.140,65.684,114.195
Gebze SC,"48,04%","26,48%",45.889,25.299,95.522,123.634,,Gebze SC,"38,19%","17,31%",36.482,16.533,56.532,123.634,,Gebze SC,"0,00%","0,00%","77,76%","92,93%","67,53%","0,00%","19,88%","0,00%",,Gebze SC,"0,00%","0,00%","10,91%","1,63%","18,55%","0,00%","40,83%","0,00%",,Gebze SC,0,0,39.034,8.876,15.911,0,59.813,0,,Gebze SC,,129.411,,,12.005,2.546,1.568,,Çarşamba,"28,05%","23,50%",17.443,14.611,62.178,103.955
Bursa MH,"71,16%","4,87%",33.961,2.325,47.723,50.567,,Bursa MH,"46,86%","2,26%",22.363,1.077,23.531,50.567,,Bursa MH,"0,00%","0,00%","0,00%","88,83%","0,00%","69,22%","0,00%","0,00%",,Bursa MH,"0,00%","0,00%","0,00%","0,36%","0,00%","5,37%","0,00%","0,00%",,Bursa MH,0,0,0,5.150,0,45.417,0,0,,Bursa MH,,48.824,,,5.651,0,0,,Perşembe,"34,22%","33,58%",20.478,20.092,59.841,111.168
Antalya MH,"19,01%","34,03%",6.370,11.405,33.515,67.920,,Antalya MH,"16,60%","34,03%",5.563,11.405,28.392,67.920,,Antalya MH,"0,00%","0,00%","0,00%","97,27%","0,00%","7,19%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,05%","0,00%","39,16%","0,00%","0,00%",,Antalya MH,0,0,0,4.668,0,63.252,0,0,,Antalya MH,,67.111,,,0,0,0,,Cuma,"33,04%","35,79%",17.693,19.164,53.553,92.277
Denizli MH,"0,00%","0,00%",0,0,1,10.964,,Denizli MH,"0,00%","0,00%",0,0,1,10.964,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,10.964,0,0,,Denizli MH,,0,,,0,0,0,,Cumartesi,"75,44%","5,90%",26.914,2.105,35.678,67.250
İkitelli-Defne Transfer Merkezi,"99,94%","0,00%",8.602,0,8.607,14.719,,İkitelli-Defne Transfer Merkezi,"99,94%","0,00%",8.602,0,8.607,14.719,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","99,98%","0,00%","0,00%","99,85%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,10.223,0,0,4.496,0,,İkitelli-Defne Transfer Merkezi,,14.724,,,0,0,0,,,,,,,,
